first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id,full_name
Adam,Matthews,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,345,Adam Matthews
Lamine,Koné,1,0,69,2545,46,35.6,624.0,339,5,451,100.2,5,0,4,1.7,346,Lamine Koné
Jan,Kirchhoff,0,1,12,433,11,30.1,53.6,26,0,61,10.9,0,0,1,0.0,347,Jan Kirchhoff
Lee,Cattermole,0,0,12,633,13,47.3,65.0,12,0,63,12.6,0,0,4,0.1,348,Lee Cattermole
Sebastian,Larsson,0,3,40,1468,35,402.5,206.0,109,0,219,71.4,3,1,4,0.0,349,Sebastian Larsson
Jack,Rodwell,0,1,38,1492,32,131.0,235.0,233,1,200,60.0,2,0,4,0.6,350,Jack Rodwell
Jeremain,Lens,0,0,2,69,1,31.3,14.2,52,0,12,9.7,0,0,0,0.0,351,Jeremain Lens
Wahbi,Khazri,1,0,31,849,21,332.2,112.2,203,3,96,64.9,1,0,6,0.1,352,Wahbi Khazri
Duncan,Watmore,0,5,43,1025,20,159.7,118.6,241,1,125,51.4,2,0,1,0.1,353,Duncan Watmore
Fabio,Borini,2,0,49,1742,34,257.3,217.0,406,3,177,87.4,5,0,5,0.6,354,Fabio Borini
Jermain,Defoe,15,3,166,3322,63,274.5,630.4,1379,24,529,227.0,6,0,1,16.1,355,Jermain Defoe
Lukasz,Fabianski,0,0,116,3330,69,0.1,780.4,0,8,650,78.1,8,0,1,3.6,356,Lukasz Fabianski
Kristoffer,Nordfeldt,0,0,3,90,1,0.0,24.8,0,0,12,2.5,0,0,0,3.4,357,Kristoffer Nordfeldt
Kyle,Naughton,1,0,82,2714,48,407.5,589.0,216,7,528,121.3,8,0,5,2.1,358,Kyle Naughton
Ashley,Williams,1,3,127,3160,40,119.1,927.6,289,9,739,133.9,13,1,7,8.7,359,Ashley Williams
Neil,Taylor,0,1,22,920,26,84.1,149.2,12,0,160,24.6,2,0,1,0.1,360,Neil Taylor
Angel,Rangel,1,0,26,831,24,122.7,221.8,54,1,190,40.0,1,0,1,0.2,361,Angel Rangel
Jordi,Amat,0,0,21,1409,36,29.2,332.2,106,0,237,46.8,2,0,5,7.4,362,Jordi Amat
Federico,Fernández,0,1,63,2430,41,38.2,579.4,206,4,435,82.9,6,0,7,1.9,363,Federico Fernández
Franck,Tabanou,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,364,Franck Tabanou
Stephen,Kingsley,0,0,29,1036,20,106.8,140.2,15,2,192,26.2,3,0,0,8.9,365,Stephen Kingsley
Mike,van der Hoorn,1,0,16,662,20,1.2,191.6,50,0,125,24.3,1,0,1,0.2,366,Mike van der Hoorn
Jack,Cork,0,1,50,2232,51,222.0,331.2,168,0,348,71.6,3,0,7,0.1,367,Jack Cork
Gylfi,Sigurdsson,9,13,181,3327,70,1302.7,905.4,1074,18,684,328.3,7,0,2,10.8,368,Gylfi Sigurdsson
Wayne,Routledge,3,2,74,1917,42,428.5,273.2,355,2,228,105.5,5,0,1,0.3,369,Wayne Routledge
Leon,Britton,0,0,32,1163,24,72.8,127.8,10,0,200,21.2,5,0,3,0.1,370,Leon Britton
Jay,Fulton,0,0,19,690,15,53.3,85.4,47,0,92,18.7,3,0,2,0.0,371,Jay Fulton
Sung-yueng,Ki,0,1,41,1291,28,210.9,160.4,77,0,220,44.4,4,0,3,0.1,372,Sung-yueng Ki
Jefferson,Montero,0,1,18,380,9,134.3,82.4,99,0,76,31.5,0,0,0,0.1,373,Jefferson Montero
André,Ayew,6,3,89,1439,25,233.4,324.4,505,5,257,105.6,6,0,1,1.0,374,André Ayew
Leroy,Fer,6,2,95,2405,49,333.9,507.6,443,5,429,128.3,4,0,9,4.6,375,Leroy Fer
Nathan,Dyer,0,1,12,214,11,57.5,40.0,48,0,47,14.6,0,0,0,0.1,376,Nathan Dyer
Bafétimbi,Gomis,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,377,Bafétimbi Gomis
Marvin,Emnes,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.3,378,Marvin Emnes
Modou,Barrow,0,2,34,1145,23,332.7,153.6,223,0,136,70.5,4,0,1,0.6,379,Modou Barrow
Hugo,Lloris,0,0,143,3004,24,20.0,664.6,2,6,665,68.7,15,0,0,7.9,380,Hugo Lloris
Michel,Vorm,0,0,17,416,2,0.0,70.4,0,0,81,6.9,2,0,0,0.3,381,Michel Vorm
Toby,Alderweireld,1,0,120,2601,17,102.2,618.4,363,4,611,108.6,14,0,1,9.6,382,Toby Alderweireld
Danny,Rose,2,3,84,1530,11,371.5,387.4,237,6,357,99.6,8,0,8,4.3,383,Danny Rose
Kyle,Walker,0,6,142,2701,21,570.5,564.0,264,18,640,140.2,14,0,8,27.6,384,Kyle Walker
Jan,Vertonghen,0,0,126,2894,21,121.1,790.8,138,8,733,105.1,15,0,5,7.7,385,Jan Vertonghen
Ben,Davies,1,3,90,1739,13,449.6,452.0,156,5,443,105.8,8,0,1,5.2,386,Ben Davies
Kieran,Trippier,0,5,51,568,3,185.6,183.8,35,7,202,40.6,3,0,1,0.4,387,Kieran Trippier
